id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-08-11T18:38:57;Savings Account Dam;CANCELLED;PAYPAL;2019-08-12T12:00:28;96990
2;parsing red Chips;2019-08-12T08:57:36;methodology Albania;CANCELLED;PAYPAL;2019-08-12T04:34:08;23277
3;Licensed Savings Account;2019-08-12T04:10:57;Planner Canyon;CANCELLED;CASH_ON_DELIVERY;2019-08-12T07:49:13;68423
4;infomediaries;2019-08-12T10:25:58;Buckinghamshire Games;PAID;PAYPAL;2019-08-12T08:55:30;3131
5;synthesizing Views e-enable;2019-08-11T15:07:19;capacitor archive;CANCELLED;PAYPAL;2019-08-11T23:16:47;35675
6;mission-critical Faroe Islands Plastic;2019-08-11T18:06:33;Small;PAID;CREDIT_CARD;2019-08-11T20:23:50;71134
7;1080p Checking Account Identity;2019-08-11T21:44:09;Internal;PAID;CASH_ON_DELIVERY;2019-08-11T23:10:14;63755
8;COM;2019-08-12T02:01:43;Frozen bus;ISSUED;PAYPAL;2019-08-12T03:06:03;11089
9;partnerships;2019-08-12T08:31:13;Dynamic;CANCELLED;CREDIT_CARD;2019-08-12T08:29:17;22879
10;Generic neutral Salad;2019-08-11T15:02:57;virtual deposit;ISSUED;CASH_ON_DELIVERY;2019-08-12T05:43:47;90682
