id;placed_date;status;code;invoice_id;customer
1;2019-08-12T12:28:27;PENDING;paradigms Home;34507;deposit Canadian Dollar Lebanon
2;2019-08-12T02:36:46;CANCELLED;Ergonomic transmitter;36778;invoice withdrawal
3;2019-08-12T00:30:04;COMPLETED;Argentine Peso;85835;neural-net red
4;2019-08-11T20:17:31;COMPLETED;Sausages;69093;synthesize Creative
5;2019-08-12T10:03:32;PENDING;Fiji Dollar Profound Bacon;98216;Borders content-based
6;2019-08-11T13:26:59;CANCELLED;Human deposit;33902;cross-media
7;2019-08-11T19:56:12;PENDING;bypassing Marketing;78534;New Zealand Dollar Alabama transform
8;2019-08-11T14:47:47;PENDING;Latvia;69189;invoice Devolved
9;2019-08-11T20:16:02;COMPLETED;Fish;36646;program alarm
10;2019-08-12T05:57:58;CANCELLED;dedicated Persevering;97301;target Human withdrawal
