id;start_date;end_date;language
1;2019-08-11T12:12:36;2019-08-11T11:34:04;FRENCH
2;2019-08-10T14:08:20;2019-08-11T05:17:33;SPANISH
3;2019-08-11T06:48:47;2019-08-10T16:50:36;SPANISH
4;2019-08-10T21:10:19;2019-08-11T10:37:16;SPANISH
5;2019-08-11T03:49:31;2019-08-10T18:27:27;FRENCH
6;2019-08-10T15:58:57;2019-08-11T11:56:30;SPANISH
7;2019-08-11T09:14:15;2019-08-10T22:18:04;SPANISH
8;2019-08-10T18:48:04;2019-08-11T12:40:54;FRENCH
9;2019-08-11T03:22:36;2019-08-11T00:01:17;ENGLISH
10;2019-08-11T07:01:23;2019-08-10T17:45:57;FRENCH
